ID,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,B_year,NoOf_sickPersons,hhsize,visit_gov_hosp,visit_pvt_hosp,impatient_gov,impatient_pvt,chronic_illness,hhfoodexppm,haif_income,hhexppm,hhincomepm
111045021,11,1,1,111045,2,1,1,1,1,1,1,1,66,1,53,1,1,1,4,9,8,1,1,8122,25931,3,1966,1,1,2,2,2,2,2,7928.5713,14839.286,11717.238,29678.572
111045101,11,1,1,111045,10,1,1,1,1,1,1,1,37,11,81,1,1,1,2,9,7,5,2, , ,7,1937,2,1,1,2,1,2,1,12021.429,13484.5235,27022.346,26969.047
111046011,11,2,5,111046,1,1,1,1,1,1,1,1,68,5,51,1,1,1,2,9,11,9,2, , ,7,1968,2,2,1,1,2,2,1,14035.715,14560.715,31726.605,29121.43
111052051,11,2,5,111052,5,1,1,1,1,1,1,1,75,3,44,1,1,1,2,9,10,1,1,5414,80101,3,1975,2,1,2,2,2,2,2,11764.286,14721.4285,36247.203,29442.857
111053021,11,1,1,111053,2,1,1,1,1,1,1,2,39,5,79,3,4,3,4,9,5,9,2, , ,7,1939,2,1,2,1,1,2,1,8104.2856,18943.6915,46564.625,37887.383
111053101,11,1,1,111053,10,1,1,1,1,1,1,1,61,3,57,1,1,1,2,9,7,9,2, , ,7,1961,2,1,1,2,2,2,1,19255.715,9308.334,60775.988,18616.668
111054061,11,1,5,111054,6,1,1,1,1,1,1,1,57,10,61,1,1,1,2,9,10,5,2, , ,7,1957,1,1,2,2,2,2,2,13688.571,17013.6915,46874.285,34027.383
111054081,11,1,5,111054,8,1,1,1,1,1,1,2,49,8,69,1,1,1,4,9,8,1,1,7531,14105,5,1949,1,1,1,2,2,2,2,9604.2861,13550,28478.381,27100
111055071,11,1,5,111055,7,1,1,1,1,1,1,1,71,10,47,1,1,1,7,9,10,1,1,8323,49222,5,1971,2,1,1,1,2,2,1,17524.285,19458.334,43987.941,38916.668
111056041,11,1,1,111056,4,1,1,1,1,1,1,1,64,5,54,1,1,1,1,9,5,9,2, , ,7,1964,2,1,1,2,1,2,1,16585.715,12300.8925,29165.119,24601.785
111056061,11,1,1,111056,6,1,1,1,1,1,1,1,68,6,50,1,1,1,2,9,11,1,1,8323,49222,5,1968,1,1,1,2,2,2,2,29224.285,20347.619,62485.223,40695.238
111057011,11,1,5,111057,1,1,1,1,1,1,1,2,47,6,71,1,1,1,4,9,13,7,2, , ,7,1947,2,2,2,2,2,2,2,20112.857,16376.1905,31842.529,32752.381
111059011,11,1,2,111059,1,1,1,1,1,1,1,2,61,10,57,1,2,2,4,9,8,1,1,9111,97004,3,1961,1,1,2,2,2,2,2,25680,18250,46606.074,36500
111060021,11,1,6,111060,2,1,1,1,1,1,1,2,87,8,31,1,2,2,2,9,11,7,2, , ,7,1987,1,1,2,2,2,2,2,14892.857,16041.667,79256.25,32083.334
111063061,11,1,6,111063,6,1,1,1,1,1,1,1,52,2,67,1,1,1,2,9,11,1,1,5221,47113,5,1952,2,1,2,1,1,2,1,17790,20733.334,46679.004,41466.668
111065042,11,1,2,111065,4,2,2,1,1,1,1,1,89,10,29,1,3,5,2,9,11,1,1,4321,14101,3,1989,1,1,2,2,2,2,2,18081.428,14335.714,40550.527,28671.428
111066011,11,2,6,111066,1,1,1,1,1,1,1,2,53,1,66,1,1,1,1,9,11,1,1,9520,47211,5,1953,2,1,2,1,2,2,2,16594.285,12122.619,33000.629,24245.238
111066041,11,2,6,111066,4,1,1,1,1,1,1,1,63,9,55,1,1,1,2,9,11,1,1,7116,84110,1,1963,2,1,2,1,2,2,1,15775.714,19850,57968.359,39700
111068061,11,1,2,111068,6,1,1,1,1,1,1,1,51,2,68,1,1,1,2,9,9,99,2, , ,7,1951,2,1,1,2,1,2,1,16628.572,13311.3095,41532.859,26622.619
111069031,11,1,6,111069,3,1,1,1,1,1,1,2,40,12,78,1,1,1,4,9,4,4,2, , ,7,1940,2,1,1,2,1,2,1,6428.5713,9687.5,21896.572,19375
111069051,11,1,6,111069,5,1,1,1,1,1,1,2,54,3,65,1,1,1,4,9,8,7,2, , ,7,1954,1,1,2,2,2,2,2,22675.715,11820,43915.957,23640
111069081,11,1,6,111069,8,1,1,1,1,1,1,2,71,7,47,1,2,2,4,9,19,7,2, , ,7,1971,1,1,2,2,1,2,2,9124.2861,10205.4795,22752.578,20410.959
111071091,11,1,2,111071,9,1,1,1,1,1,1,2,78,1,41,1,1,1,2,9,12,1,1,4132,63111,5,1978,1,1,2,1,2,2,2,18685.715,17152.381,80258.82,34304.762
111073021,11,1,6,111073,2,1,1,1,1,1,1,2,53,2,66,1,1,1,4,9,12,2,1,7531,14105,5,1953,1,1,2,2,2,2,2,18231.43,20425.498,46185.48,40850.996
111074041,11,1,2,111074,4,1,1,1,1,1,1,1,54,3,64,1,1,1,2,9,13,7,2, , ,7,1954,2,1,2,1,2,2,1,15557.143,20157.1425,36719.813,40314.285
111079091,11,1,3,111079,9,1,1,1,1,1,1,1,83,11,35,1,1,1,2,9,10,1,1,9311,23951,3,1983,2,1,2,2,2,2,2,14631.429,18421.4275,33589.598,36842.855
111080081,11,1,7,111080,8,1,1,1,1,1,1,2,73,2,46,1,1,1,7,9,13,7,2, , ,7,1973,2,1,2,1,2,2,1,9317.1426,21691.666,41346.176,43383.332
111081041,11,1,6,111081,4,1,1,1,1,1,1,1,60,4,59,1,1,1,2,9,13,1,1,1420,47113,4,1960,2,1,2,2,2,2,1,38245.715,21800,69441.477,43600
111083011,11,2,7,111083,1,1,1,1,1,1,1,1,48,4,71,1,1,1,2,9,8,4,2, , ,7,1948,1,1,1,2,1,2,2,14700,14953.5715,32648.885,29907.143
111083031,11,2,7,111083,3,1,1,1,1,1,1,1,92,6,27,1,1,1,2,9,11,1,1,9321,20115,3,1992,1,1,2,2,2,2,2,18064.285,15600,33035,31200
111083051,11,2,7,111083,5,1,1,1,1,1,1,1,44,12,74,1,1,1,2,9,7,1,1,7316,13932,3,1944,2,1,2,2,2,2,1,10928.571,18309.5235,26438.572,36619.047
111083061,11,2,7,111083,6,1,1,1,1,1,1,1,64,3,55,1,1,1,2,9,8,1,1,9111,97001,3,1964,2,1,2,2,2,2,2,6210,21328.5705,33663.816,42657.141
111083081,11,2,7,111083,8,1,1,1,1,1,1,1,56,3,63,1,1,1,2,9,9,1,1,8323,49222,5,1956,2,1,2,2,2,2,1,10671.429,19693.5725,36341.551,39387.145
111086021,11,1,7,111086,2,1,1,1,1,1,1,2,63,4,56,1,1,1,4,9,10,7,2, , ,7,1963,2,1,2,1,2,2,1,7842.8574,14250,46490.816,28500
111087071,11,1,7,111087,7,1,1,1,1,1,1,1,58,9,60,1,1,1,5,9,12,5,2, , ,7,1958,1,1,2,2,2,2,2,17704.285,20100,48436.203,40200
111087081,11,1,7,111087,8,1,1,1,1,1,1,1,72,9,46,1,6,4,2,9,13,1,1,7214,43302,3,1972,1,1,2,2,1,2,2,32935.715,19021.547,75723.742,38043.094
111090071,11,1,7,111090,7,1,1,1,1,1,1,1,80,10,38,1,1,1,2,9,5,1,1,9313,41003,3,1980,1,1,2,2,2,2,2,13800,10500,34005.258,21000
111090081,11,1,7,111090,8,1,1,1,1,1,1,2,70,11,48,1,2,2,2,9,19,7,2, , ,7,1970,2,1,2,2,2,2,1,16808.57,13392.8575,23651.57,26785.715
111092011,11,1,8,111092,1,1,1,1,1,1,1,1,84,5,35,1,2,2,2,9,10,1,1,8323,49222,5,1984,1,2,2,2,2,2,2,25272.857,17000,48046.438,34000
111092061,11,1,8,111092,6,1,1,1,1,1,1,1,72,11,46,1,2,2,2,9,10,1,1,9111,96010,3,1972,2,2,2,2,2,2,1,29764.285,21000,53473.273,42000
111092071,11,1,8,111092,7,1,1,1,1,1,1,2,97,12,21,1,2,2,1,9,11,1,1,9321,14109,3,1997,2,2,2,2,2,2,2,38275.715,18333.334,71270.484,36666.668
111092091,11,1,8,111092,9,1,1,1,1,1,1,1,60,4,59,1,4,3,4,9,5,1,1,9998,99998,3,1960,2,1,2,2,1,2,1,27192.857,22142.8575,38576.953,44285.715
111093022,11,2,1,111093,2,2,2,1,1,1,1,1,88,6,30,1,1,1,2,9,11,1,1,7214,25931,3,1988,2,1,2,2,2,2,2,8661.4287,13066.667,36166.074,26133.334
111093081,11,2,1,111093,8,1,1,1,1,1,1,1,67,2,51,1,1,1,2,9,8,1,2, , ,7,1967,2,1,2,1,2,2,1,18677.143,10741.667,39904.785,21483.334
111094081,11,1,7,111094,8,1,1,1,1,1,1,1,56,9,62,1,1,1,1,9,4,1,1,9629,80101,3,1956,2,1,2,1,2,2,1,8365.7139,13385.714,15763.152,26771.428
111095091,11,1,4,111095,9,1,1,1,1,1,1,2,50,12,68,1,1,1,4,9,8,1,1,5414,80101,3,1950,2,1,1,2,2,2,1,9690,13500,30004.096,27000
111096041,11,1,8,111096,4,1,1,1,1,1,1,1,51,4,68,1,1,1,2,9,10,5,2, , ,7,1951,2,1,2,2,2,2,2,32087.143,18791.668,75755.945,37583.336
111096071,11,1,8,111096,7,1,1,1,1,1,1,2,56,7,63,1,4,1,4,9,7,7,1,6116,1261,5,1956,1,2,2,2,2,2,2,20854.285,20201.1915,56307.625,40402.383
111098101,11,1,7,111098,10,1,1,1,1,1,1,1,48,12,70,1,1,1,2,9,13,7,2, , ,7,1948,2,1,2,2,2,2,1,27021.428,18750,76486.961,37500
111099021,11,3,4,111099,2,1,1,1,1,1,1,2,76,7,42,1,1,1,4,9,8,1,1,7316,13932,5,1976,2,2,1,2,2,2,1,12115.714,16104.166,28546.24,32208.332
111100061,11,2,8,111100,6,1,1,1,1,1,1,1,44,1,75,1,1,1,2,9,8,1,1,6111,1131,5,1944,2,1,1,2,2,2,1,17862.857,10169.048,36621.445,20338.096
111101061,11,1,1,111101,6,1,1,1,1,1,1,1,46,7,72,1,2,4,2,9,8,6,2, , ,7,1946,1,2,2,2,2,2,2,51745.715,19583.334,97387.492,39166.668
111104011,11,1,8,111104,1,1,1,1,1,1,1,1,45,10,73,1,1,1,2,9,13,1,1,6118,1192,5,1945,2,1,2,2,2,2,1,24732.857,19314.285,63541.723,38628.57
111105011,11,1,1,111105,1,1,1,1,1,1,1,1,45,8,73,1,1,1,2,9,6,9,2, , ,7,1945,2,1,1,2,2,2,1,13534.286,22000,38574.641,44000
111106011,11,1,8,111106,1,1,1,1,1,1,1,1,81,9,37,1,1,1,2,9,11,1,1,7115,43301,3,1981,2,1,2,2,1,2,2,21154.285,20292.8575,44758.234,40585.715
111108041,11,1,1,111108,4,1,1,1,1,1,1,1,39,6,79,1,1,5,2,9,7,1,1,8332,49232,5,1939,2,1,1,2,1,2,1,17502.857,15041.0715,32078.447,30082.143
111108051,11,1,1,111108,5,1,1,1,1,1,1,1,40,2,78,1,1,1,2,9,11,4,2, , ,7,1940,2,1,2,2,2,2,1,11790,16507.1425,49381.859,33014.285
111109071,11,2,8,111109,7,1,1,1,1,1,1,2,53,3,66,1,1,1,4,9,10,7,2, , ,7,1953,1,1,1,2,2,2,2,14472.857,13294.048,27724.285,26588.096
111110021,11,1,5,111110,2,1,1,1,1,1,1,1,92,9,26,1,4,3,2,9,10,1,1,8122,20221,3,1992,1,1,2,2,2,2,2,32022.857,21729.627,63633.098,43459.254
111110091,11,1,5,111110,9,1,1,1,1,1,1,1,59,2,60,1,1,1,2,9,7,5,2, , ,7,1959,2,1,1,2,2,2,1,12514.286,13792.2625,34259.094,27584.525
111112041,11,2,2,111112,4,1,1,1,1,1,1,1,68,12,50,1,1,1,2,9,7,1,1,5211,47811,3,1968,1,1,2,2,2,2,2,22062.857,17500,46566.098,35000
111112061,11,2,2,111112,6,1,1,1,1,1,1,2,51,12,67,1,1,1,4,9,7,1,1,5221,47596,5,1951,1,1,2,2,2,2,2,19714.285,14000,37195.336,28000
111113101,11,2,5,111113,10,1,1,1,1,1,1,2,79,12,39,1,1,1,2,9,10,7,2, , ,7,1979,1,2,2,2,2,2,2,24780,21500,50342.008,43000
111114031,11,2,2,111114,3,1,1,1,1,1,1,1,45,5,73,1,1,1,2,9,12,4,2, , ,7,1945,2,1,2,1,2,2,1,12514.286,21150,46277.711,42300
111115011,11,1,8,111115,1,1,1,1,1,1,1,1,72,10,46,1,1,1,4,9,12,1,1,7531,14105,3,1972,1,1,2,2,2,2,2,16187.143,13500,36908.422,27000
111115021,11,1,8,111115,2,1,1,1,1,1,1,2,75,10,43,1,1,1,2,9,11,1,1,7531,14105,3,1975,2,2,2,2,2,2,1,29520,16062.5,59359.102,32125
111115091,11,1,8,111115,9,1,1,1,1,1,1,2,83,5,36,1,1,4,2,9,8,7,2, , ,7,1983,3,2,2,2,2,2,2,21085.715,15500,34832.078,31000
111116031,11,2,5,111116,3,1,1,1,1,1,1,1,56,5,63,1,1,1,2,9,11,3,2, , ,7,1956,2,1,2,1,1,2,1,12557.143,21292.8575,64298.785,42585.715
111117091,11,1,9,111117,9,1,1,1,1,1,1,2,47,5,72,1,1,1,4,9,15,5,2, , ,7,1947,2,1,2,1,2,2,1,12750,17083.334,71714.57,34166.668
111119061,11,1,8,111119,6,1,1,1,1,1,1,1,46,1,73,1,1,1,2,9,10,4,2, , ,7,1946,2,1,2,2,2,2,1,24137.143,20100,34505.273,40200
111120011,11,2,5,111120,1,1,1,1,1,1,1,1,50,5,69,1,1,1,2,9,11,1,1,6116,1261,5,1950,2,1,2,1,2,1,1,15835.714,13350.714,46682.016,26701.428
111120061,11,2,5,111120,6,1,1,1,1,1,1,2,40,4,79,1,1,1,4,9,5,2,1,6114,1271,5,1940,2,1,2,2,2,2,1,11335.714,11857.7385,16944.047,23715.477
111120071,11,2,5,111120,7,1,1,1,1,1,1,1,50,12,68,1,1,1,2,9,10,1,1,5161,96092,5,1950,2,1,2,2,2,2,1,8070,12733.333,33209.383,25466.666
111122051,11,1,2,111122,5,1,1,1,1,1,1,2,80,11,38,1,1,1,4,9,11,1,1,7514,47814,5,1980,2,1,1,2,2,2,1,13470,17500,40611.645,35000
111126031,11,2,9,111126,3,1,1,1,1,1,1,2,38,12,80,1,1,1,1,9,10,4,2, , ,7,1938,2,1,2,2,2,2,2,11267.143,20740.4765,49900.02,41480.953
111129051,11,1,2,111129,5,1,1,1,1,1,1,1,76,9,42,1,2,2,2,9,11,1,1,9211,10792,3,1976,1,2,2,2,2,2,2,20057.143,20000,42285.109,40000
111130031,11,2,9,111130,3,1,1,1,1,1,1,2,76,6,43,1,1,1,7,9,12,5,1,1321,47738,5,1976,1,1,1,2,2,2,2,23592.857,20078.5725,51303.703,40157.145
111130081,11,2,9,111130,8,1,1,1,1,1,1,1,61,6,58,1,1,1,2,9,10,1,1,9629,84110,1,1961,2,1,1,2,2,2,1,11708.571,15650,30292.48,31300
111131031,11,1,5,111131,3,1,1,1,1,1,1,2,67,7,51,1,4,3,2,9,11,7,2, , ,7,1967,2,1,2,1,2,2,1,20464.285,11500,47843.406,23000
111131061,11,1,5,111131,6,1,1,1,1,1,1,1,57,1,62,1,1,1,2,9,5,9,2, , ,7,1957,2,1,2,1,2,2,2,18450,11582.1425,26493,23164.285
